Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PUBLIC,WA,MEEKATHARRA HOSPITAL,0070500Y,SAVAGE STREET,MEEKATHARRA,6642,NO,,
PRIVATE,VIC,MELBOURNE DAY SURGERY CENTRE,0930981W,"LEVEL 1, 961 GLENHUNTLY ROAD",CAULFIELD SOUTH,3162,YES,11-12-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,MELBOURNE ENDOSCOPY ,0656391K,"SUITE 9 LEVEL 3, 517 ST KILDA ROAD",MELBOURNE,3004,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,MELBOURNE ENDOSCOPY MONASH DAY PROCEDURE CENTRE,0656392Y,277 CLAYTON ROAD,CLAYTON,3168,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,MELBOURNE MEDIBRAIN CENTRE,0043960W,631 INKERMAN ROAD,CAULFIELD NORTH,3161,NO,,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,MELBOURNE PRIVATE HOSPITAL,0036700H,ROYAL PARADE,PARKVILLE,3052,YES,25-09-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,SA,MEMORIAL HOSPITAL,0065240A,SIR EDWIN SMITH AVENUE,NORTH ADELAIDE,5006,YES,09-02-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,SA,MENINGIE HOSPITAL,0060660Y,2 SOUTH TERRACE,MENINGIE,5264,NO,,
PUBLIC,NSW,MERCY CARE HOSPITAL - YOUNG,0011710K,69 DEMONDRILLE STREET,YOUNG,2594,NO,,
PUBLIC,VIC,MERCY HEALTH - O'CONNELL FAMILY CENTRE CAMPUS,0031550A,6 MONT ALBERT ROAD,CANTERBURY,3126,NO,,
PUBLIC,NSW,MERCY HEALTH SERVICE,0011690Y,550 POOLE STREET,ALBURY,2640,NO,,
PUBLIC,VIC,MERCY HOSPITAL FOR WOMEN,0031610F,163 STUDLEY ROAD,HEIDELBERG,3084,NO,,
PUBLIC,WA,MERREDIN HOSPITAL,0070510X,KITCHENER ROAD,MERREDIN,6415,NO,,
PUBLIC,NSW,MERRIWA MULTI PURPOSE SERVICE,0011720J,60 MACKENZIE STREET,MERRIWA,2329,NO,,
PUBLIC,TAS,MERSEY COMMUNITY HOSPITAL,0085170K,BASS HIGHWAY,LATROBE,7307,NO,,
PRIVATE,NSW,METROPOLITAN REHABILITATION HOSPITAL,0015310W,275 ADDISON ROAD,PETERSHAM,2049,YES,12-07-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,NSW,METWEST SURGICAL,0656411A,17 HEREWARD HIGHWAY,BLACKTOWN,2148,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,MIAMI PRIVATE HOSPITAL,0057440T,24 HILLCREST PARADE,MIAMI,4220,YES,19-07-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,TAS,MIDLANDS MULTI PURPOSE HEALTH CENTRE,0085180J,13 CHURCH STREET,OATLANDS,7120,NO,,
PUBLIC,VIC,MILDURA BASE PUBLIC HOSPITAL,0036820Y,220-228 THIRTEENTH STREET,MILDURA,3500,NO,,
PRIVATE,VIC,MILDURA HEALTH PRIVATE HOSPITAL,0036600K,220-228 THIRTEENTH STREET,MILDURA,3500,YES,17-12-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,QLD,MILES HOSPITAL,0050870F,5-11 COLAMBA STREET,MILES,4415,NO,,
PUBLIC,SA,MILLICENT AND DISTRICT HOSPITAL AND HEALTH SERVICES,0060340T,33 MT GAMBIER ROAD,MILLICENT,5280,NO,,
PUBLIC,QLD,MILLMERRAN HOSPITAL,0050880B,50 COMMENS STREET,MILLMERRAN,4357,NO,,
PUBLIC,NSW,MILTON ULLADULLA HOSPITAL,0011740F,104-106 PRINCES HIGHWAY,MILTON,2538,NO,,
PRIVATE,NSW,MINCHINBURY COMMUNITY PRIVATE HOSPITAL,0017000T,120 RUPERTSWOOD ROAD,MOUNT DRUITT,2040,YES,25-01-22,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,NSW,MIRANDA DAY SURGERY,0027290W,25/20-24 GIBBS ST,MIRANDA,2228,YES,20-02-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,MIRANDA EYE SURGICAL CENTRE,0990491F,"SUITE 4, 16-22 WILLOCK AVENUE",MIRANDA,2228,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,MITCHAM PRIVATE HOSPITAL,0036090W,27 DONCASTER EAST ROAD & 36 DONCASTER EAST ROAD,MITCHAM,3132,YES,07-09-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,MITCHELL HOSPITAL,0050890A,95 ANN STREET,MITCHELL,4465,NO,,
PUBLIC,SA,MODBURY HOSPITAL,0060690T,41-69 SMART ROAD,MODBURY,5092,NO,,
PRIVATE,NSW,MOGO DAY SURGERY,0017420W,2-4 CHARLES STREET,MOGO,2536,YES,05-03-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,MOLONG HEALTH SERVICE,0011750B,KING STREET,MOLONG,2866,NO,,
PUBLIC,NSW,MONA VALE HOSPITAL,0012470B,81 CORONATION STREET,MONA VALE,2103,NO,,
PUBLIC,VIC,MONASH HEALTH COMMUNITY,0032150J,122 THOMAS STREET,DANDENONG,3175,NO,,
PRIVATE,VIC,MONASH HOUSE PRIVATE HOSPITAL,0036960J,"LEVEL 1, 271 CLAYTON ROAD",CLAYTON,3168,YES,25-08-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,MONASH IVF SYDNEY CBD,0027600X,"LEVEL 10, 207 KENT STREET",SYDNEY,2000,YES,23-07-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,MONASH MEDICAL CENTRE - CLAYTON CAMPUS,0030970K,246 CLAYTON ROAD,CLAYTON,3168,NO,,
PUBLIC,VIC,MONASH MEDICAL CENTRE - MOORABBIN CAMPUS,0030970K,823-865 CENTRE ROAD,BENTLEIGH EAST,3165,NO,,
PRIVATE,VIC,MONASH SURGICAL PRIVATE HOSPITAL,0036670X,252-256 CLAYTON ROAD,CLAYTON,3168,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,MONTO HOSPITAL,0050900T,35 FLINDERS STREET,MONTO,4630,NO,,
PUBLIC,WA,MOORA HOSPITAL,0070540L,DANDARAGAN ROAD,MOORA,6510,NO,,
PUBLIC,QLD,MORANBAH HOSPITAL,0051580H,CNR ELLIOTT STREET AND MILLS AVENUE,MORANBAH,4744,NO,,
PUBLIC,WA,MORAWA HOSPITAL,0070560J,CAULFIELD ROAD,MORAWA,6623,NO,,
PUBLIC,NSW,MOREE DISTRICT HOSPITAL,0011760A,35 ALICE STREET,MOREE,2400,NO,,
PRIVATE,QLD,MORETON DAY HOSPITAL,0057000W,"SPECIALIST MEDICAL CENTRE, LEVEL 2, SUITE 201, 6 NORTH LAKES DRIVE",NORTH LAKES,4509,YES,07-10-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,MORNINGTON ENDOSCOPY,0044060A,350 MAIN STREET,MORNINGTON,3931,YES,29-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,MORNINGTON ISLAND HOSPITAL,0051620T,306 LARDYL STREET,MORNINGTON ISLAND,4871,NO,,
PUBLIC,NSW,MORUYA DISTRICT HOSPITAL,0011780X,2-10 RIVER STREET,MORUYA,2537,NO,,
PUBLIC,QLD,MOSSMAN HOSPITAL (DOUGLAS SHIRE MULTI PURPOSE HEALTH SERVICE),0050910L,9 HOSPITAL STREET,MOSSMAN,4873,NO,,
PUBLIC,SA,MOUNT BARKER AND DISTRICT HEALTH SERVICES,0060360K,89 WELLINGTON ROAD,MOUNT BARKER,5251,NO,,
PUBLIC,NSW,MOUNT DRUITT HOSPITAL,0012780K,63 RAILWAY STREET,MOUNT DRUITT,2770,NO,,
PUBLIC,VIC,MOUNT ELIZA CENTRE,0031700B,33 JACKSONS ROAD,MOUNT ELIZA,3930,NO,,
PUBLIC,SA,MOUNT GAMBIER AND DISTRICTS HEALTH SERVICE,0060370J,276-300 WEHL STREET NORTH,MOUNT GAMBIER,5290,NO,,
PRIVATE,SA,MOUNT GAMBIER PRIVATE HOSPITAL,0065920Y,276-300 WEHL STREET,NORTH MOUNT GAMBIER,5290,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,WA,MOUNT HOSPITAL,0075420B,150 MOUNTS BAY ROAD,PERTH,6000,YES,22-01-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,MOUNT ISA  HOSPITAL,0050930J,30 CAMOOWEAL STREET,MOUNT ISA,4825,NO,,
PUBLIC,QLD,MOUNT MORGAN HOSPITAL,0050950F,BLACK STREET,MOUNT MORGAN,4714,NO,,
PUBLIC,SA,MOUNT PLEASANT HOSPITAL,0060380H,28 HOSPITAL ROAD,MOUNT PLEASANT,5235,NO,,
PUBLIC,QLD,MOURA HOSPITAL,0051560K,14 NOTT STREET,MOURA,4718,NO,,
PUBLIC,VIC,MOYNE HEALTH SERVICES,0030900B,30-36 VILLIERS STREET,PORT FAIRY,3284,NO,,
PRIVATE,NSW,MT WILGA PRIVATE HOSPITAL,0015020F,66 ROSAMOND STREET,HORNSBY,2077,YES,09-11-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,MUDGEE HEALTH SERVICE,0011790W,MEARES STREET,MUDGEE,2850,NO,,
PRIVATE,ACT,MUGGA WARA ENDOSCOPY CENTRE,0657101H,"NATIONAL CAPITAL PRIVATE HOSPITAL, GILMORE CRESCENT & HOSPITAL ROAD",GARRAN,2605,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,MULGRAVE PRIVATE HOSPITAL,0036580Y,BLANTON DRIVE,MULGRAVE,3170,YES,02-06-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,WA,MULLEWA HOSPITAL,0070570H,ELDER STREET,MULLEWA,6630,NO,,
PUBLIC,QLD,MUNDUBBERA MULTIPURPOSE HEALTH SERVICE ,0050980Y,96 LEICHHARDT STREET,MUNDUBBERA,4626,NO,,
PUBLIC,QLD,MUNGINDI HOSPITAL,0050990X,80 -84 BARWON STREET,MUNGINDI,2406,NO,,
PRIVATE,WA,MURDOCH SURGICENTRE,0077020B,100 MURDOCH DRIVE,MURDOCH,6150,YES,07-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,MURGON HOSPITAL,0051000Y,CORONATION DRIVE,MURGON,4605,NO,,
PUBLIC,SA,MURRAY BRIDGE SOLDIERS MEMORIAL HOSPITAL,0060390F,CNR SWANPORT ROAD & MONASH TERRACE,MURRAY BRIDGE,5253,NO,,
PUBLIC,WA,MURRAY DISTRICT HOSPITAL,0070670B,MCKAY STREET,PINJARRA,6208,NO,,
PRIVATE,VIC,MURRAY VALLEY PRIVATE HOSPITAL,0036780L,NORDSVAN DRIVE,WODONGA,3690,YES,27-11-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,MURRUMBAH-HARDEN HOSPITAL,0011810H,54 SWIFT STREET,HARDEN,2587,NO,,
PUBLIC,NSW,MURWILLUMBAH DISTRICT HOSPITAL,0012210A,8 EWING STREET,MURWILLUMBAH,2484,NO,,
PUBLIC,NSW,MUSWELLBROOK HOSPITAL,0010800W,36 BRENTWOOD STREET,MUSWELLBROOK,2333,NO,,
PRIVATE,VIC,NAGAMBIE HOSPITAL INC,0035610W,22 CHURCH STREET,NAGAMBIE,3608,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,QLD,NAMBOUR DAY SURGERY,0057250Y,115 HOWARD STREET,NAMBOUR,4560,YES,28-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,NAMBOUR GENERAL HOSPITAL,0051020W,HOSPITAL ROAD,NAMBOUR,4560,NO,,
PRIVATE,QLD,NAMBOUR SELANGOR PRIVATE HOSPITAL,0055470B,62 NETHERTON STREET,NAMBOUR,4560,YES,25-05-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,QLD,NANANGO HOSPITAL,0051030T,135 BRISBANE STREET,NANANGO,4615,NO,,
PUBLIC,WA,NANNUP HOSPITAL,0070630K,CAREY STREET,NANNUP,6275,NO,,
PUBLIC,SA,NARACOORTE HEALTH SERVICE,0060400X,101 JENKINS TERRACE,NARACOORTE,5271,NO,,
PUBLIC,WA,NAREMBEEN HOSPITAL,0070590B,ADA STREET,NAREMBEEN,6369,NO,,
PUBLIC,NSW,NARRABRI DISTRICT HOSPITAL,0011830B,11 CAMERON STREET,NARRABRI,2390,NO,,
PUBLIC,NSW,NARRANDERA HOSPITAL,0011840A,54 ADAMS STREET,NARRANDERA,2700,NO,,
PUBLIC,WA,NARROGIN HOSPITAL,0070600W,WILLIAMS ROAD,NARROGIN,6312,NO,,
PUBLIC,NSW,NARROMINE HOSPITAL & COMMUNITY HEALTH,0011850Y,128 CATHUNDRAL STREET,NARROMINE,2821,NO,,
PUBLIC,VIC,NATHALIA DISTRICT HOSPITAL,0030800H,36-44 MCDONNELL STREET,NATHALIA,3638,NO,,
PRIVATE,ACT,NATIONAL CAPITAL PRIVATE HOSPITAL,0095100J,GILMORE CRESCENT & HOSPITAL ROAD,GARRAN,2605,YES,12-04-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,NEERIM DISTRICT HEALTH SERVICE,0035660H,29-39 MAIN ROAD,NEERIM SOUTH,3831,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,NEPEAN HOSPITAL,0011860X,DERBY STREET,KINGSWOOD,2747,NO,,
PRIVATE,NSW,NEPEAN PRIVATE HOSPITAL,0016580J,13 BARBER AVENUE,KINGSWOOD,2474,YES,03-03-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,WA,NEPHROCARE MIDLAND DIALYSIS CLINIC,0077260J,11 THE AVENUE ,MIDLAND,6056,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NEPHROCARE NEWCASTLE DIALYSIS CLINIC,0017380J,"SUITE 402, LEVEL 4, 670 HUNTER STREET",NEWCASTLE,2300,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,NERINGAH HOSPITAL,0010130W,4-12 NERINGAH AVENUE SOUTH,WAHROONGA,2076,NO,,
PRIVATE,VIC,NEW AGE DENTAL,0044190L,"SUITE 5 TO 7, LEVEL 1/20 SCHOLAR DRIVE",BUNDOORA,3083,YES,06-10-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,NEW FARM CLINIC,0055620F,22 SARGENT STREET,NEW FARM,4005,YES,24-05-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,TAS,NEW NORFOLK DISTRICT HOSPITAL,0080160J,3 RICHMOND STREET,NEW NORFOLK,7140,NO,,
PRIVATE,NSW,NEWCASTLE ENDOSCOPY CENTRE,0027360X,"SUITE 15, 20-22 SMITH STREET",CHARLESTOWN,2291,YES,06-04-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NEWCASTLE EYE HOSPITAL,0874031Y,182 CHRISTO ROAD,WARATAH,2298,YES,27-01-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NEWCASTLE PRIVATE HOSPITAL,0017050F,14 LOOKOUT ROAD,NEW LAMBTON HEIGHTS,2305,YES,15-12-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,WA,NEWMAN HOSPITAL,0071180L,54 MINDARRA DRIVE,NEWMAN,6753,NO,,
PRIVATE,WA,NGALA FAMILY SERVICES,0075140K,9 GEORGE STREET,KENSINGTON,6151,YES,13-12-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,NIMBIN MULTI PURPOSE SERVICE,0011890L,35 CULLEN STREET,NIMBIN,2480,NO,,
PUBLIC,SA,NOARLUNGA HEALTH SERVICE,0060850T,ALEXANDER KELLY DRIVE,NOARLUNGA CENTRE,5168,NO,,
PRIVATE,VIC,NOBLE PARK ENDOSCOPY CENTRE,0893841H,1304 HEATHERTON ROAD,NOBLE PARK,3174,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,NOOSA HOSPITAL,0055930L,111 GOODCHAP STREET,NOOSAVILLE,4566,YES,26-01-24,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,QLD,NOOSA SURGICAL AND ENDOSCOPY CENTRE,0057100L,22 MARY STREET,NOOSAVILLE,4566,YES,28-04-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,NORMANTON HOSPITAL,0051040L,LOT 199 BROWN STREET,NORMANTON,4890,NO,,
PUBLIC,WA,NORSEMAN HOSPITAL,0070610T,TALBOT STREET,NORSEMAN,6443,NO,,
PRIVATE,SA,NORTH ADELAIDE DAY SURGERY CENTRE,0873741Y,174 WARD STREET,NORTH ADELAIDE,5006,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,NORTH ADELAIDE GASTROENTEROLOGY CENTRE,0067020X,254 MELBOURNE STREET,NORTH ADELAIDE,5006,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,NORTH EASTERN COMMUNITY HOSPITAL,0065770X,580 LOWER NORTH EAST ROAD,CAMPBELLTOWN,5074,YES,08-08-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,VIC,NORTH EASTERN REHABILITATION CENTRE,0035050K,134-144 FORD STREET,IVANHOE,3079,YES,22-12-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,TAS,NORTH EASTERN SOLDIERS MEMORIAL HOSPITAL,0080190B,CAMERON STREET,SCOTTSDALE,7260,NO,,
PRIVATE,QLD,NORTH LAKES DAY HOSPITAL,0057380K,7 ENDEAVOUR BOULEVARD,NORTH LAKES,4509,YES,06-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,NORTH MELBOURNE RENAL CARE CENTRE,0036880J,"LEVEL 1, 185 - 187 BOUNDARY ROAD",NORTH MELBOURNE,3051,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,NORTH MIDLANDS HOSPITAL,0070730H,THOMAS STREET,THREE SPRINGS,6519,NO,,
PRIVATE,QLD,NORTH QUEENSLAND DAY SURGICAL CENTRE,0999721A,119 KINGS ROAD,PIMLICO,4812,YES,04-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NORTH SHORE PRIVATE HOSPITAL,0017200H,WESTBOURNE STREET,ST LEONARDS,2065,YES,15-06-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,NORTH SHORE SPECIALIST DAY HOSPITAL,0027230H,176 PACIFIC HIGHWAY,GREENWICH,2065,YES,30-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,TAS,NORTH TAS DAY HOSPITAL,0085240L,25-27 CANNING STREET,LAUNCESTON,7250,YES,03-08-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,NORTH WEST PRIVATE HOSPITAL,0055800A,137 FLOCKTON STREET,EVERTON PARK,4053,YES,23-09-23,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,TAS,NORTH WEST PRIVATE HOSPITAL,0085000H,21 BRICKPORT ROAD,BURNIE,7320,YES,18-05-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,TAS,NORTH WEST REGIONAL HOSPITAL,0080400J,23 BRICKPORT ROAD,BURNIE,7320,NO,,
PUBLIC,WA,NORTHAM HOSPITAL,0071190K,ROBINSON STREET,NORTHAM,6401,NO,,
PUBLIC,WA,NORTHAMPTON HOSPITAL,0070640J,STEPHEN STREET,NORTHAMPTON,6535,NO,,
PUBLIC,VIC,NORTHEAST HEALTH WANGARATTA,0031250L,35-47 GREEN STREET,WANGARATTA,3677,NO,,
PRIVATE,NSW,NORTHERN BEACHES HOSPITAL,0017590Y,105 FRENCHS FOREST ROAD,FRENCHS FOREST,2086,YES,11-07-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,NORTHERN CANCER INSTITUTE,0027320F,"LEVEL 1, 38 PACIFIC HIGHWAY",ST LEONARDS,2065,YES,14-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NORTHERN CANCER INSTITUTE - FRENCHS FOREST,0017350T,"SUITE 3, LEVEL 1, BUILDING 1, 49 FRENCHS FOREST",FRENCHS FOREST,2086,YES,14-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,NORTHERN ENDOSCOPY CENTRE,0834441A,127 FROST ROAD,SALISBURY SOUTH,5106,YES,08-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,NORTHERN YORKE PRIVATE HOSPITAL,0065890K,1 ERNEST TERRACE,WALLAROO,5556,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,NORTHPARK PRIVATE HOSPITAL,0036530J,CNR PLENTY & GREENHILLS ROAD,BUNDOORA,3083,YES,09-03-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,NORTHSIDE ENDOSCOPY SERVICE,0057390J,17 HASKING STREET,CABOOLTURE,4510,YES,06-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NORTHSIDE GROUP CREMORNE CLINIC,0016570K,3 HARRISON STREET,CREMORNE,2090,YES,16-04-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,NORTHSIDE GROUP MACARTHUR CLINIC,0017480F,92-96 DUMARESQ STREET,CAMPBELLTOWN,2560,YES,18-04-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,NORTHSIDE GROUP ST LEONARDS CLINIC,0016770B,2 FREDERICK STREET,ST LEONARDS,2065,YES,14-04-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,NORTHSIDE GROUP WENTWORTHVILLE CLINIC,0016050L,23-27 LYTTON STREET,WENTWORTHVILLE,2145,YES,15-04-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,NORTHWEST DAY HOSPITAL,0894521T,221 MARIBYRNONG ROAD,ASCOT VALE,3032,YES,29-12-20,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NORWEST DAY HOSPITAL,0027330B,"SUITE 102, 9 NORBRIK DRIVE",BELLA VISTA,2153,YES,15-04-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NORWEST PRIVATE HOSPITAL,0016870Y,"11  NORBRIK DRIVE, NORWEST BUSINESS PARK",BELLA VISTA,2153,YES,04-11-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,SA,NORWOOD DAY SURGERY,0067280Y,42 NELSON STREET,STEPNEY,5069,YES,14-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,NOWRA PRIVATE HOSPITAL,0016970W,WEEROONA PLACE,NOWRA,2541,YES,26-06-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,NT,NT MEDICAL SPECIALIST,0096000F,21 VANDERLIN DRIVE,WANGURI,810,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,NUMURKAH DISTRICT HEALTH SERVICE,0030830A,2 KATAMATITE ROAD,NUMURKAH,3636,NO,,
PUBLIC,NSW,NYNGAN MULTI PURPOSE SERVICE,0011900F,HOSPITAL ROAD,NYNGAN,2825,NO,,
PUBLIC,QLD,OAKEY HOSPITAL,0051050K,5 BEALE STREET,OAKEY,4401,NO,,
PUBLIC,NSW,OBERON MULTI PURPOSE SERVICE,0011910B,67-73 NORTH STREET,OBERON,2787,NO,,
PUBLIC,VIC,OMEO DISTRICT HEALTH,0030850X,12 EASTON STREET,OMEO,3898,NO,,
PUBLIC,WA,ONSLOW HEALTH SERVICE,0070650H,SECOND AVENUE,ONSLOW,6710,NO,,
